, Data element name,Usage [Cardinality],Segment Name,Field Identifier,HL7 V2 Field Name,"V2 value set, other notes",FHIR element location,Usage [Cardinality].1,"FHIR Value set, other notes",parsed,joined
27,Patient Telephone Number,RE [0..*],PID,13.7,Phone Number -  Home.Local Number,"HL7 PID-13 element can repeat to support more than one communication means (Phone or email or direct), but only 1 repeat of the component per occurrence",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.telecom.value,RE [0..1],"the element patient.telecom can repeat , but within one occurrence this element can only be used once","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value"
28,Patient Telecommunication Use Type,RE [0..*],PID,13.2,Phone Number - Home.Telecommunication Use Code,"Used to indicate type of communication method (phone or email or direct)
Values drawn from: https://terminology.hl7.org/CodeSystem-v2-0201.html ",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.telecom.system,R [1..1],"http://hl7.org/fhir/R4/valueset-contact-point-system.html
the element patient.telecom can repeat , but within one occurrence this element can only be used once - if the element is not sent this field is not required
We don't think patient will have direct addresses, but if that is the case use this mapping: https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.telecom.system with this extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.system']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.system"
29,Patient email,RE [0..*],PID,13.4,"Phone Number - Home.email address, when PID-13.5 is valued 'NET'","HL7 PID-13 element can repeat to support more than one communication means (Phone or email or direct), but only 1 repeat of the component per occurrence",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.telecom.value,R [1..1],"the element patient.telecom can repeat , but within one occurrence this element can only be used once","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value"
30,Patient directAddress,RE [0..*],PID,13.4,"Phone Number - Home.email address, when PID-13.5 is valued 'DSM'","HL7 PID-13 element can repeat to support more than one communication means (Phone or email or direct), but only 1 repeat of the component per occurrence",,,,[''],
31,Patient Account Number,R [1..1],PID,18.1,Patient Account Number.Id Number,,"https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-encounter-definitions.html#Encounter.account, reference to account.identifier, where account.type = 'PBILLACCT'",R [1..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.account,', 'reference', 'to', 'account.identifier,', 'where', 'account.type', '=', ""'PBILLACCT'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.account, reference to account.identifier, where account.type = 'PBILLACCT'"
32,Patient Date of Death,RE [0..1],PID,29,Patient Death Date and Time,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.deceased[x],RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.deceased[x]']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.deceased[x]"
33,Primary Care Provider Identifier (NPI),RE [0..1],PD1,4.1,Patient Primary Care Provider Name and ID No.Id Number,NOTE: Type 1 NPI if the entity is an Individual,"Cannot reference practitioner role from US encounter - not sure how to indicate primary care provider in practitioner??? should we expand participation type codes to include these, like they did in V2? 
in base FHIR can: https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.individual referencing https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole-definitions.html#PractitionerRole.practitioner. - where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole-definitions.html#PractitionerRole.specialty Is valued ""261QP2300X""",,,"['Cannot', 'reference', 'practitioner', 'role', 'from', 'US', 'encounter', '-', 'not', 'sure', 'how', 'to', 'indicate', 'primary', 'care', 'provider', 'in', 'practitioner???', 'should', 'we', 'expand', 'participation', 'type', 'codes', 'to', 'include', 'these,', 'like', 'they', 'did', 'in', 'V2?', '\nin', 'base', 'FHIR', 'can:', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.individual', 'referencing', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole.html"">US Core PractitionerRole Profile</a>.practitioner.', '-', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole.html"">US Core PractitionerRole Profile</a>.specialty', 'Is', 'valued', '""261QP2300X""']","Cannot reference practitioner role from US encounter - not sure how to indicate primary care provider in practitioner??? should we expand participation type codes to include these, like they did in V2? 
in base FHIR can: <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.individual referencing <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole.html"">US Core PractitionerRole Profile</a>.practitioner. - where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitionerrole.html"">US Core PractitionerRole Profile</a>.specialty Is valued ""261QP2300X"""
34,Primary Care Provider Last Name,RE [0..1],PD1,4.2,Patient Primary Care Provider Name and ID No.Family Name,,,,,[''],
35,Primary Care Provider First Name,RE [0..1],PD1,4.3,Patient Primary Care Provider Name and ID No.Given Name,,,,,[''],
36,Primary Care Provider Identifier (NPI),RE [0..1],ROL after PID (PD1) ,4.1,"Role Person.Identifier, where ROL-3.1 is valued 'PP'",in V2.5.1 and later MUST send ROL in addition to PD1,,,,[''],
37,Primary Care Provider Last Name,RE [0..1],ROL after PID (PD1) ,4.2,"Role Person.Family Name, where ROL-3.1 is valued 'PP'",in V2.5.1 and later MUST send ROL in addition to PD1,,,,[''],
38,Primary Care Provider First Name,RE [0..1],ROL after PID (PD1) ,4.3,Role Person.Given Name,in V2.5.1 and later MUST send ROL in addition to PD1,,,,[''],
39,Role,RE [0..1],ROL after PID (PD1) ,3.1,Role-ROL.Identifier,"https://terminology.hl7.org/2.1.0/ValueSet-v2-0443.html with extensions:
TF Treating Facility
Use PP for Primary Provider or FHCP for Family Health Care Provider.",this is covered by the structure of the encounter resource,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization","['this', 'is', 'covered', 'by', 'the', 'structure', 'of', 'the', 'encounter', 'resource']",this is covered by the structure of the encounter resource
40,Person Identifier (NPI),RE [0..1],ROL after PID (PD1) ,4.1,Role Person.Identifier,NOTE: Type 1 NPI if the entity is an Individual,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
41,Person Last Name,RE [0..1],ROL after PID (PD1) ,4.2,Role Person.Family Name,,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
42,Person First Name,RE [0..1],ROL after PID (PD1) ,4.3,Role Person.Given Name,,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
43,Organization Identifier (NPI),RE [0..1],ROL after PID (PD1) ,4.1,Role Person.Identifier,Use level-2 NPI for the organization identifier - this is how you differentiate between the ROL representing the person providing care vs the organization the provider works for.,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",O [0..1],mapped based on assumption in V2 note,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider', 'referencing', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value,', 'where', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
44,Organization Name,RE [0..1],ROL after PID (PD1) ,4.2,Role Person.Family Name,Despite the name of the field we are using this to communicate the name of the providers' organization,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.name,O [0..1],mapped based on assumption in V2 note,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider', 'referencing', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.name']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.name"
45,Person or Organization Direct address,RE [0..1],ROL after PID (PD1) ,12.4.4,"Phone.Email Address, when ROL-12.4.2 is valued 'DSM'","Used to indicate type of communication method (phone or email or direct)
Values drawn from: https://terminology.hl7.org/CodeSystem-v2-0201.html",,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization but in all cases wil need to use this extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html",[''],
46,Treating Facility Identifier,R [1..1],PV1,3.4.1,Assigned Patient Location,Use level-2 NPI for the organization identifier,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.identifier.value, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'and where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.status is valued 'active'",RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.identifier.value,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'and"", 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status', 'is', 'valued', ""'active'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.identifier.value, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'and where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status is valued 'active'"
47,Patient Class,R [1..1],PV1,2,Patient Class,"All codes in Patient Class value set (https://terminology.hl7.org/2.1.0/ValueSet-v2-0004.html) with these extensions:
V Observation
S Short Stay
http://terminology.hl7.org/2.1.0/ValueSet-v2-0004.html",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.class,R [1..1],https://hl7.org/fhir/R4/v3/ActEncounterCode/vs.html,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.class']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.class"
48,Assigned Patient Location – Point of Care,RE [0..1],PV1,3.1,Assigned Patient Location.Point Of Care,NOTE: Required if known - for A02 Transfer event,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.name,R [1..1],"element is Must Support, but if you have it, name is required","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name"
49,Treating Facility Name – Location Description,"R
RE",PV1,3.9,"Assigned Patient Location.Location Description
ROL-4.2, when ROL-3.1 = 'TF'
And ROL-4.1 = PV1-3.4.1","NOTE: The treating facility name SHOULD be distinctive enough that it uniquely identifies the physical location where the patient is or was being treated
NOTE: The Treating Facility Address should be sent in a corresponding ROL segment in ROL-11 with ROL-3 = TF","https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.name, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.status is valued 'active'",R[1..1],Address for this location can be sent in https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.address,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status', 'is', 'valued', ""'active'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status is valued 'active'"
50,Role,RE [0..1],ROL after PV1/PV2 ,3.1,Role-ROL.Identifier,"https://terminology.hl7.org/2.1.0/ValueSet-v2-0443.html with extensions:
TF Treating Facility ",,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
51,Person Identifier (NPI),RE [0..1],ROL after PV1/PV2 ,4.1,Role Person.Identifier,use Level-1 NPI for practitioners,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
52,Person Last Name,RE [0..1],ROL after PV1/PV2 ,4.2,Role Person.Family Name,,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
53,Person First Name,RE [0..1],ROL after PV1/PV2 ,4.3,Role Person.Given Name,,,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization",[''],
54,Organization Identifier (NPI),RE [0..1],ROL after PV1/PV2 ,4.1,Role Person.Identifier,Use level-2 NPI for the organization identifier - this is how you differentiate between the ROL representing the person providing care vs the organization the provider works for.,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",O [0..1],mapped based on assumption in V2 note,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider', 'referencing', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value,', 'where', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.value, where https://hl7.org/fhir/R4/organization-definitions.html#Organization.identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
55,Organization Name,RE [0..1],ROL after PV1/PV2 ,4.2,Role Person.Family Name,Name of Organization the Provider Works for,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.name,O [0..1],mapped based on assumption in V2 note,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider', 'referencing', 'https://hl7.org/fhir/R4/organization-definitions.html#Organization.name']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.serviceProvider referencing https://hl7.org/fhir/R4/organization-definitions.html#Organization.name"
56,Treating Provider (Attending) Direct address,RE [0..1],ROL after PV1/PV2 ,12.4.4,"Phone.email, when ROL-12.4.2 = 'DSM' and ROL-3.1 = 'AT'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization but in all cases will need to use this extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ATND'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom', 'with', 'extension:', 'https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html"
57,Treating Provider (Consulting) Direct address,RE [0..1],ROL after PV1/PV2 ,12.4.4,"Phone.email, when ROL-12.4.2 = 'DSM'and ROL-3.1 = 'CP'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization but in all cases will need to use this extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'CON'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom', 'with', 'extension:', 'https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html"
58,Treating Provider (Admitting) Direct address,RE [0..1],ROL after PV1/PV2 ,12.4.4,"Phone.email, when ROL-12.4.2 = 'DSM' and ROL-3.1 = 'AD'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html,,"mapping depends on what this ROL segment represents, so not mapped here, but rather for the respective practitioner roles and participating organization but in all cases will need to use this extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ADM'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom', 'with', 'extension:', 'https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.telecom with extension: https://hl7.org/fhir/us/core/StructureDefinition-us-core-direct.html"
59,Treating Facility Address,RE,ROL after PV1/PV2 ,11,Address,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.address,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.address']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.address"
60,Admission Type,R [1..1],PV1,4,Admission Type,"http://terminology.hl7.org/2.1.0/ValueSet-v2-0007.html
Note: For Newborn birth in healthcare facility use code N.",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.type,R [1..*],"https://hl7.org/fhir/us/core/STU3.1/ValueSet-us-core-encounter-type.html
This value set includes codes from the following code systems:
Include codes from http://snomed.info/sct where concept is-a 308335008 (Patient encounter procedure)
Include all codes defined in http://www.ama-assn.org/go/cpt","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.type']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.type"
